doc_no,pv-sat-001,date:,"april_26,_2016",_source_file,_folder,_project,pv-sat-002,09-25-2017,pv-sat-003,09/05/2018,pv-sat-004,10-30-2016,pv-sat-005,10/03/2016,date,vendor,amount,mode,bank,project,remarks,pv-sat-008,"december_31,_2017",pv-sat-009,02/04/2016,pv-sat-010,"november_17,_2017",pv-sat-011,25-jan-2016,pv-sat-012,23-mar-2015,pv-sat-013,03-feb-2018,pv-sat-014,24/07/2016,cheque,pv-sat-016,"october_07,_2015",pv-sat-017,11/05/2016,pv-sat-021,11/12/2016,pv-sat-022,19.06.2016,30/07/07,05-09-2006,pv-sat-006,"may_07,_2007",12-01-2007,"october_18,_2007",13/10/07,10-28-2007,16/07/2006,04.01.2007,01/11/2011,07-apr-2013,16-aug-2012,11-14-2011,pv-sat-007,09-05-2013,30/01/12,2013/11/19,06-30-2013,25/11/2012,pv-sat-015,2013/07/16,19.10.2011,2013/08/26,pv-sat-023,"december_19,_2011",pv-sat-024,05/07/2013,pv-sat-028,"may_30,_2013",pv-sat-029,17/03/2012
AMOUNT (RS.):,,,,payment_vouchers\SATTI_MALL_PayVoucher_012.xlsx,payment_vouchers,SATTI_MALL,,,,,,,,,,,,,,,,,,,,,,,,2296386.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN WORDS:,,,,payment_vouchers\SATTI_MALL_PayVoucher_012.xlsx,payment_vouchers,SATTI_MALL,,,,,,,,,,,,,,,,,,,,,,,,"Rupees 2,296,386 only",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAY MODE:,,Bank:,,payment_vouchers\SATTI_MALL_PayVoucher_012.xlsx,payment_vouchers,SATTI_MALL,,,,,,,,,,,,,,,,,,,,,,,,DD,,,,,,,,,,,,,,,,,,,,,,Bank Al-Falah,,,,,,,,,,,,,,,,,,,,,,,,
CHEQUE #:,,,,payment_vouchers\SATTI_MALL_PayVoucher_012.xlsx,payment_vouchers,SATTI_MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PURPOSE:,,,,payment_vouchers\SATTI_MALL_PayVoucher_012.xlsx,payment_vouchers,SATTI_MALL,,,,,,,,,,,,,,,,,,,,,,,,Material Purchase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APPROVED BY:,,,,payment_vouchers\SATTI_MALL_PayVoucher_012.xlsx,payment_vouchers,SATTI_MALL,,,,,,,,,,,,,,,,,,,,,,,,Director,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECEIVED BY:,,,,payment_vouchers\SATTI_MALL_PayVoucher_012.xlsx,payment_vouchers,SATTI_MALL,,,,,,,,,,,,,,,,,,,,,,,,________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAID TO:,,Project:,,payment_vouchers\SATTI_MALL_PayVoucher_013.xlsx,payment_vouchers,SATTI_MALL,,,,,,,,,,,,,,,,,,,,,,,,,,Sultan HVAC Services,,,,,,,,,,,,,,,,,,,,,SATTI_MALL,,,,,,,,,,,,,,,,,,,,,,,
AMOUNT (RS.):,,,,payment_vouchers\SATTI_MALL_PayVoucher_013.xlsx,payment_vouchers,SATTI_MALL,,,,,,,,,,,,,,,,,,,,,,,,,,1062431.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN WORDS:,,,,payment_vouchers\SATTI_MALL_PayVoucher_013.xlsx,payment_vouchers,SATTI_MALL,,,,,,,,,,,,,,,,,,,,,,,,,,"Rupees 1,062,431 only",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAY MODE:,,Bank:,,payment_vouchers\SATTI_MALL_PayVoucher_013.xlsx,payment_vouchers,SATTI_MALL,,,,,,,,,,,,,,,,,,,,,,,,,,Cheque,,,,,,,,,,,,,,,,,,,,,Allied,,,,,,,,,,,,,,,,,,,,,,,
CHEQUE #:,,,,payment_vouchers\SATTI_MALL_PayVoucher_013.xlsx,payment_vouchers,SATTI_MALL,,,,,,,,,,,,,,,,,,,,,,,,,,CHQ-272471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PURPOSE:,,,,payment_vouchers\SATTI_MALL_PayVoucher_013.xlsx,payment_vouchers,SATTI_MALL,,,,,,,,,,,,,,,,,,,,,,,,,,Labour Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APPROVED BY:,,,,payment_vouchers\SATTI_MALL_PayVoucher_013.xlsx,payment_vouchers,SATTI_MALL,,,,,,,,,,,,,,,,,,,,,,,,,,Mr. Satti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECEIVED BY:,,,,payment_vouchers\SATTI_MALL_PayVoucher_013.xlsx,payment_vouchers,SATTI_MALL,,,,,,,,,,,,,,,,,,,,,,,,,,________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV-SAT-014,,,,payment_vouchers\SATTI_MALL_PayVoucher_014.xlsx,payment_vouchers,SATTI_MALL,,,,,,,,,2006-05-25,Ahmad & Bros Construction,1082712.61,Pay Order,Bank Al-Falah,SATTI_MALL,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV-SAT-015,,,,payment_vouchers\SATTI_MALL_PayVoucher_015.xlsx,payment_vouchers,SATTI_MALL,,,,,,,,,2007-04-07,Green Marble & Granite,2082131.19,Pay Order,Allied,SATTI_MALL,Need receipt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV-SAT-016,,,,payment_vouchers\SATTI_MALL_PayVoucher_016.xlsx,payment_vouchers,SATTI_MALL,,,,,,,,,2007-12-14,Tariq & Sons Electricals,1565245.15,Cash,MCB,SATTI_MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV-SAT-017,,,,payment_vouchers\SATTI_MALL_PayVoucher_017.xlsx,payment_vouchers,SATTI_MALL,,,,,,,,,2007-07-27,Metro Plumbing Supplies,159696.0,Cash,Meezan,SATTI_MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV-SAT-018,,,,payment_vouchers\SATTI_MALL_PayVoucher_018.xlsx,payment_vouchers,SATTI_MALL,,,,,,,,,2007-05-26,Rehman Plumbing Works,135246.84,DD,MCB,SATTI_MALL,Advance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV-SAT-019,,,,payment_vouchers\SATTI_MALL_PayVoucher_019.xlsx,payment_vouchers,SATTI_MALL,,,,,,,,,2007-08-08,Bilal Tiles & Flooring,1561900.35,DD,,SATTI_MALL,Verified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV-SAT-020,,,,payment_vouchers\SATTI_MALL_PayVoucher_020.xlsx,payment_vouchers,SATTI_MALL,,,,,,,,,2006-05-27,Qamar Civil Engineers,2344274.21,DD,Bank Al-Falah,SATTI_MALL,Advance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV-SAT-021,,,,payment_vouchers\SATTI_MALL_PayVoucher_021.xlsx,payment_vouchers,SATTI_MALL,,,,,,,,,2006-11-15,Sultan HVAC Services,173523.46,Pay Order,UBL,SATTI_MALL,Need receipt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAID TO:,,Project:,,payment_vouchers\SATTI_MALL_PayVoucher_022.xlsx,payment_vouchers,SATTI_MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Baig Steel Fabricators,,,,,,,,,,,SATTI_MALL,,,,,,,,,,,,,,,,,,,,,,
AMOUNT (RS.):,,,,payment_vouchers\SATTI_MALL_PayVoucher_022.xlsx,payment_vouchers,SATTI_MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1114337.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN WORDS:,,,,payment_vouchers\SATTI_MALL_PayVoucher_022.xlsx,payment_vouchers,SATTI_MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rupees 1,114,337 only",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAY MODE:,,Bank:,,payment_vouchers\SATTI_MALL_PayVoucher_022.xlsx,payment_vouchers,SATTI_MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cheque,,,,,,,,,,,HBL,,,,,,,,,,,,,,,,,,,,,,
CHEQUE #:,,,,payment_vouchers\SATTI_MALL_PayVoucher_022.xlsx,payment_vouchers,SATTI_MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHQ-163429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PURPOSE:,,,,payment_vouchers\SATTI_MALL_PayVoucher_022.xlsx,payment_vouchers,SATTI_MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Security Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APPROVED BY:,,,,payment_vouchers\SATTI_MALL_PayVoucher_022.xlsx,payment_vouchers,SATTI_MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECEIVED BY:,,,,payment_vouchers\SATTI_MALL_PayVoucher_022.xlsx,payment_vouchers,SATTI_MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV-SAT-023,,,,payment_vouchers\SATTI_MALL_PayVoucher_023.xlsx,payment_vouchers,SATTI_MALL,,,,,,,,,2006-09-27,Noor Finishing & Interior,2213628.67,Cheque,,SATTI_MALL,,,,,,,,,,,,,,,,CHQ-423668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV-SAT-024,,,,payment_vouchers\SATTI_MALL_PayVoucher_024.xlsx,payment_vouchers,SATTI_MALL,,,,,,,,,2006-09-26,Iqbal Electrical Contractors,1468167.58,Cash,Allied,SATTI_MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV-SAT-025,,,,payment_vouchers\SATTI_MALL_PayVoucher_025.xlsx,payment_vouchers,SATTI_MALL,,,,,,,,,2006-11-22,Pioneer Generators Ltd,,NEFT,Allied,SATTI_MALL,Need receipt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV-SAT-026,,,,payment_vouchers\SATTI_MALL_PayVoucher_026.xlsx,payment_vouchers,SATTI_MALL,,,,,,,,,2007-08-22,Sultan HVAC Services,1731143.31,Pay Order,Bank Al-Falah,SATTI_MALL,Advance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAID TO:,Pioneer Generators Ltd,Project:,,payment_vouchers\SATTI_PLAZA_PayVoucher_001.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SATTI_PLAZA,,,,,,,,,,,,,,,,,,,,,
AMOUNT (RS.):,824904.53,,,payment_vouchers\SATTI_PLAZA_PayVoucher_001.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN WORDS:,"Rupees 824,904 only",,,payment_vouchers\SATTI_PLAZA_PayVoucher_001.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAY MODE:,DD,Bank:,,payment_vouchers\SATTI_PLAZA_PayVoucher_001.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HBL,,,,,,,,,,,,,,,,,,,,,
CHEQUE #:,,,,payment_vouchers\SATTI_PLAZA_PayVoucher_001.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PURPOSE:,Contractor Bill,,,payment_vouchers\SATTI_PLAZA_PayVoucher_001.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APPROVED BY:,,,,payment_vouchers\SATTI_PLAZA_PayVoucher_001.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECEIVED BY:,________________________,,,payment_vouchers\SATTI_PLAZA_PayVoucher_001.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV-SAT-002,,,,payment_vouchers\SATTI_PLAZA_PayVoucher_002.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,2013-12-10,Baig Steel Fabricators,536780.58,NEFT,Bank Al-Falah,SATTI_PLAZA,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV-SAT-003,,,,payment_vouchers\SATTI_PLAZA_PayVoucher_003.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,2011-08-30,Pak Steel Traders,910228.78,Online Transfer,HBL,SATTI_PLAZA,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAID TO:,,Project:,,payment_vouchers\SATTI_PLAZA_PayVoucher_004.xlsx,payment_vouchers,SATTI_PLAZA,,,,,Qamar Civil Engineers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SATTI_PLAZA,,,,,,,,,,,,,,,,,,,,
AMOUNT (RS.):,,,,payment_vouchers\SATTI_PLAZA_PayVoucher_004.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN WORDS:,,,,payment_vouchers\SATTI_PLAZA_PayVoucher_004.xlsx,payment_vouchers,SATTI_PLAZA,,,,,"Rupees 1,466,287 only",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAY MODE:,,Bank:,,payment_vouchers\SATTI_PLAZA_PayVoucher_004.xlsx,payment_vouchers,SATTI_PLAZA,,,,,Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HBL,,,,,,,,,,,,,,,,,,,,
CHEQUE #:,,,,payment_vouchers\SATTI_PLAZA_PayVoucher_004.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PURPOSE:,,,,payment_vouchers\SATTI_PLAZA_PayVoucher_004.xlsx,payment_vouchers,SATTI_PLAZA,,,,,Running Bill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APPROVED BY:,,,,payment_vouchers\SATTI_PLAZA_PayVoucher_004.xlsx,payment_vouchers,SATTI_PLAZA,,,,,Director,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECEIVED BY:,,,,payment_vouchers\SATTI_PLAZA_PayVoucher_004.xlsx,payment_vouchers,SATTI_PLAZA,,,,,________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAID TO:,,Project:,,payment_vouchers\SATTI_PLAZA_PayVoucher_005.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,Green Marble & Granite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SATTI_PLAZA,,,,,,,,,,,,,,,,,,,
AMOUNT (RS.):,,,,payment_vouchers\SATTI_PLAZA_PayVoucher_005.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,2119597.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN WORDS:,,,,payment_vouchers\SATTI_PLAZA_PayVoucher_005.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,"Rupees 2,119,597 only",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAY MODE:,,Bank:,,payment_vouchers\SATTI_PLAZA_PayVoucher_005.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,Cheque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Allied,,,,,,,,,,,,,,,,,,,
CHEQUE #:,,,,payment_vouchers\SATTI_PLAZA_PayVoucher_005.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,CHQ-122536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PURPOSE:,,,,payment_vouchers\SATTI_PLAZA_PayVoucher_005.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,Material Purchase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APPROVED BY:,,,,payment_vouchers\SATTI_PLAZA_PayVoucher_005.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,Director,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECEIVED BY:,,,,payment_vouchers\SATTI_PLAZA_PayVoucher_005.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAID TO:,,Project:,,payment_vouchers\SATTI_PLAZA_PayVoucher_006.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hafiz Glass & Aluminum,,,,,,,,,,,SATTI_PLAZA,,,,,,,,,,,,,,,,,,
AMOUNT (RS.):,,,,payment_vouchers\SATTI_PLAZA_PayVoucher_006.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1638898.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN WORDS:,,,,payment_vouchers\SATTI_PLAZA_PayVoucher_006.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rupees 1,638,898 only",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAY MODE:,,Bank:,,payment_vouchers\SATTI_PLAZA_PayVoucher_006.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Online Transfer,,,,,,,,,,,Allied,,,,,,,,,,,,,,,,,,
CHEQUE #:,,,,payment_vouchers\SATTI_PLAZA_PayVoucher_006.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PURPOSE:,,,,payment_vouchers\SATTI_PLAZA_PayVoucher_006.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Security Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APPROVED BY:,,,,payment_vouchers\SATTI_PLAZA_PayVoucher_006.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Director,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECEIVED BY:,,,,payment_vouchers\SATTI_PLAZA_PayVoucher_006.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAID TO:,,Project:,,payment_vouchers\SATTI_PLAZA_PayVoucher_007.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Iqbal Electrical Contractors,SATTI_PLAZA,,,,,,,,,,,,,,,,
AMOUNT (RS.):,,,,payment_vouchers\SATTI_PLAZA_PayVoucher_007.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2442869.11,,,,,,,,,,,,,,,,,
IN WORDS:,,,,payment_vouchers\SATTI_PLAZA_PayVoucher_007.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rupees 2,442,869 only",,,,,,,,,,,,,,,,,
PAY MODE:,,Bank:,,payment_vouchers\SATTI_PLAZA_PayVoucher_007.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEFT,MCB,,,,,,,,,,,,,,,,
CHEQUE #:,,,,payment_vouchers\SATTI_PLAZA_PayVoucher_007.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PURPOSE:,,,,payment_vouchers\SATTI_PLAZA_PayVoucher_007.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Contractor Bill,,,,,,,,,,,,,,,,,
APPROVED BY:,,,,payment_vouchers\SATTI_PLAZA_PayVoucher_007.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECEIVED BY:,,,,payment_vouchers\SATTI_PLAZA_PayVoucher_007.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,________________________,,,,,,,,,,,,,,,,,
PV-SAT-008,,,,payment_vouchers\SATTI_PLAZA_PayVoucher_008.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,2013-08-27,Sultan HVAC Services,938766.98,NEFT,Allied,SATTI_PLAZA,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAID TO:,,Project:,,payment_vouchers\SATTI_PLAZA_PayVoucher_009.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,,,,,,,,,,Rehman Plumbing Works,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SATTI_PLAZA,,,,,,,,,,,,,,,
AMOUNT (RS.):,,,,payment_vouchers\SATTI_PLAZA_PayVoucher_009.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,,,,,,,,,,738985.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN WORDS:,,,,payment_vouchers\SATTI_PLAZA_PayVoucher_009.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,,,,,,,,,,"Rupees 738,985 only",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAY MODE:,,Bank:,,payment_vouchers\SATTI_PLAZA_PayVoucher_009.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,,,,,,,,,,Online Transfer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Allied,,,,,,,,,,,,,,,
CHEQUE #:,,,,payment_vouchers\SATTI_PLAZA_PayVoucher_009.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PURPOSE:,,,,payment_vouchers\SATTI_PLAZA_PayVoucher_009.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,,,,,,,,,,Advance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APPROVED BY:,,,,payment_vouchers\SATTI_PLAZA_PayVoucher_009.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECEIVED BY:,,,,payment_vouchers\SATTI_PLAZA_PayVoucher_009.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,,,,,,,,,,________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAID TO:,,Project:,,payment_vouchers\SATTI_PLAZA_PayVoucher_010.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,,,,,,,,,,,,Fazal Bricks & Tiles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SATTI_PLAZA,,,,,,,,,,,,,,
AMOUNT (RS.):,,,,payment_vouchers\SATTI_PLAZA_PayVoucher_010.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,,,,,,,,,,,,1819609.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN WORDS:,,,,payment_vouchers\SATTI_PLAZA_PayVoucher_010.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,,,,,,,,,,,,"Rupees 1,819,609 only",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAY MODE:,,Bank:,,payment_vouchers\SATTI_PLAZA_PayVoucher_010.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MCB,,,,,,,,,,,,,,
CHEQUE #:,,,,payment_vouchers\SATTI_PLAZA_PayVoucher_010.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PURPOSE:,,,,payment_vouchers\SATTI_PLAZA_PayVoucher_010.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,,,,,,,,,,,,Security Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
