row_no,item_code,description,unit,opening_stock,received,issued,balance,remarks,_source_file,_folder,_project,credit,debit,closing_stock,nan,
Project: SATTI_PLAZA   Month: April 2013,,,,,,,,,inventory\SATTI_PLAZA_Inventory_Apr2013.xlsx,inventory,SATTI_PLAZA,,,,,
1,COPWIRE3,3/0.029 Copper Wire,mtr,57.0,188.4,108.0,137.2,,inventory\SATTI_PLAZA_Inventory_Apr2013.xlsx,inventory,SATTI_PLAZA,,,,,
2,REBAR-12MM,STL-RB12,kg,136.0,349.6,50.6,434.5,Surplus,inventory\SATTI_PLAZA_Inventory_Apr2013.xlsx,inventory,SATTI_PLAZA,,,,,
3,GLASS-6MM,GLS-CLR6,sft,132.0,324.0,346.3,109.6,Reorder,inventory\SATTI_PLAZA_Inventory_Apr2013.xlsx,inventory,SATTI_PLAZA,,,,,
4,AGG-CRS-34,Bajri 3/4,cft,,398.6,331.8,199.2,,inventory\SATTI_PLAZA_Inventory_Apr2013.xlsx,inventory,SATTI_PLAZA,,,,,
5,"G.I.PIPE 2""","2"" GI Pipe",rft,77.3,413.0,,180.1,,inventory\SATTI_PLAZA_Inventory_Apr2013.xlsx,inventory,SATTI_PLAZA,,,,,
6,IMP_MARBLE_W,MRB-IMP,sft,14.3,69.0,68.2,15.1,Surplus,inventory\SATTI_PLAZA_Inventory_Apr2013.xlsx,inventory,SATTI_PLAZA,,,,,
7,GENSET-25,GEN-25K,nos,121.3,96.3,8.7,208.9,OK,inventory\SATTI_PLAZA_Inventory_Apr2013.xlsx,inventory,SATTI_PLAZA,,,,,
8,FLOOR_TILE_12,floor_tile_12,sft,181.6,74.3,62.3,193.6,,inventory\SATTI_PLAZA_Inventory_Apr2013.xlsx,inventory,SATTI_PLAZA,,,,,
9,RETI (RIVER),river_sand,cft,41.7,485.4,397.9,129.2,Surplus,inventory\SATTI_PLAZA_Inventory_Apr2013.xlsx,inventory,SATTI_PLAZA,,,,,
10,RED BRICK A-GRADE,Class-A Red Brick,1000,176.5,170.0,73.0,273.9,,inventory\SATTI_PLAZA_Inventory_Apr2013.xlsx,inventory,SATTI_PLAZA,,,,,
11,CEMENT-50,CEM-OPC50,bag,140.1,196.5,61.9,274.7,,inventory\SATTI_PLAZA_Inventory_Apr2013.xlsx,inventory,SATTI_PLAZA,,,,,
12,PLYWOOD 12MM MR,PLY-MR12,sht,198.7,158.0,123.2,233.5,Surplus,inventory\SATTI_PLAZA_Inventory_Apr2013.xlsx,inventory,SATTI_PLAZA,,,,,
13,REBAR 5/8 INCH,Steel Bar 16,kg,93.9,205.4,,141.0,,inventory\SATTI_PLAZA_Inventory_Apr2013.xlsx,inventory,SATTI_PLAZA,,,,,
14,WIRE-7/029,7/0.029 Copper Wire,mtr,4.0,203.4,28.7,179.0,Reorder,inventory\SATTI_PLAZA_Inventory_Apr2013.xlsx,inventory,SATTI_PLAZA,,,,,
15,OIL-PAINT-W,Oil Paint (White) 4Ltr,tin,28.6,336.1,316.0,48.7,OK,inventory\SATTI_PLAZA_Inventory_Apr2013.xlsx,inventory,SATTI_PLAZA,,,,,
16,PIP-GI1,GalvPipe-1,rft,63.9,10.9,33.0,41.8,,inventory\SATTI_PLAZA_Inventory_Apr2013.xlsx,inventory,SATTI_PLAZA,,,,,
17,SAN-WC-STD,WC-STD,nos,87.0,391.3,,301.0,Surplus,inventory\SATTI_PLAZA_Inventory_Apr2013.xlsx,inventory,SATTI_PLAZA,,,,,
Store Keeper:,,Site Engr:,,,,,,,inventory\SATTI_PLAZA_Inventory_Apr2013.xlsx,inventory,SATTI_PLAZA,,,,,
Project: SATTI_PLAZA   Month: April 2014,,,,,,,,,inventory\SATTI_PLAZA_Inventory_Apr2014.xlsx,inventory,SATTI_PLAZA,,,,,
1,RED BRICK A-GRADE,Class A Brick,1000,172.7,,,,,inventory\SATTI_PLAZA_Inventory_Apr2014.xlsx,inventory,SATTI_PLAZA,459.3,128.5,503.5,,
2,STL-RB-16,REBAR-16MM,kg,114.1,,,,,inventory\SATTI_PLAZA_Inventory_Apr2014.xlsx,inventory,SATTI_PLAZA,236.0,32.0,318.1,Surplus,
3,CEMENT BAG 50KG,CEMENT-50,bag,135.8,,,,,inventory\SATTI_PLAZA_Inventory_Apr2014.xlsx,inventory,SATTI_PLAZA,120.0,39.8,216.0,OK,
4,"CER.TILE 12""","Cer.Tile 12""",sft,73.0,,,,,inventory\SATTI_PLAZA_Inventory_Apr2014.xlsx,inventory,SATTI_PLAZA,389.3,65.6,396.7,OK,
5,BAJRI 3/4,"C.Agg 3/4""",cft,25.7,,,,,inventory\SATTI_PLAZA_Inventory_Apr2014.xlsx,inventory,SATTI_PLAZA,1.3,21.9,5.0,Surplus,
6,PIP-GI-1,GI PIPE 1IN,rft,133.0,,,,,inventory\SATTI_PLAZA_Inventory_Apr2014.xlsx,inventory,SATTI_PLAZA,188.0,5.6,316.2,OK,
7,STL-RB-12,rebar 1/2 inch,kg,190.9,,,,,inventory\SATTI_PLAZA_Inventory_Apr2014.xlsx,inventory,SATTI_PLAZA,101.5,16.7,275.7,Surplus,
8,SAN-WC,Commode Standard,nos,119.7,,,,,inventory\SATTI_PLAZA_Inventory_Apr2014.xlsx,inventory,SATTI_PLAZA,381.0,449.0,51.7,,
9,COPWIRE7,CopWire7,mtr,47.0,,,,,inventory\SATTI_PLAZA_Inventory_Apr2014.xlsx,inventory,SATTI_PLAZA,276.5,168.6,154.9,,
10,GEN_25KVA,GEN-25K,nos,67.2,,,,,inventory\SATTI_PLAZA_Inventory_Apr2014.xlsx,inventory,SATTI_PLAZA,475.9,35.0,508.1,,
11,CBL-ARM95,95mm² Armoured Cable,mtr,184.7,,,,,inventory\SATTI_PLAZA_Inventory_Apr2014.xlsx,inventory,SATTI_PLAZA,353.0,340.6,197.2,,
12,GLS-CLR-6,6mm_glass,sft,157.8,,,,,inventory\SATTI_PLAZA_Inventory_Apr2014.xlsx,inventory,SATTI_PLAZA,41.2,196.0,3.0,,
13,RETI (RIVER),Sand (Fine),cft,196.3,,,,,inventory\SATTI_PLAZA_Inventory_Apr2014.xlsx,inventory,SATTI_PLAZA,384.6,491.9,89.0,,
14,ALU-WIN4,"A.Win 4""",nos,109.7,,,,,inventory\SATTI_PLAZA_Inventory_Apr2014.xlsx,inventory,SATTI_PLAZA,106.0,168.2,47.5,,
15,PAINT_OIL_W,OIL-PAINT-W,tin,195.7,,,,,inventory\SATTI_PLAZA_Inventory_Apr2014.xlsx,inventory,SATTI_PLAZA,47.3,142.0,101.0,Surplus,
16,MARBLE WHT,MAR-W-IMP,sft,129.5,,,,,inventory\SATTI_PLAZA_Inventory_Apr2014.xlsx,inventory,SATTI_PLAZA,378.7,52.8,455.0,Surplus,
17,WIR-CP3,wire_3029,mtr,106.2,,,,,inventory\SATTI_PLAZA_Inventory_Apr2014.xlsx,inventory,SATTI_PLAZA,405.2,110.8,400.6,Reorder,
18,GALVPIPE-2,GalvPipe-2,rft,79.3,,,,,inventory\SATTI_PLAZA_Inventory_Apr2014.xlsx,inventory,SATTI_PLAZA,388.0,299.0,,Surplus,
19,M20 CONCRETE,rmc_m20,cft,103.0,,,,,inventory\SATTI_PLAZA_Inventory_Apr2014.xlsx,inventory,SATTI_PLAZA,284.9,266.8,121.1,Reorder,
Store Keeper:,,Site Engr:,,,,,,,inventory\SATTI_PLAZA_Inventory_Apr2014.xlsx,inventory,SATTI_PLAZA,,,,,
Project: SATTI_PLAZA   Month: August 2011,,,,,,,,,inventory\SATTI_PLAZA_Inventory_Aug2011.xlsx,inventory,SATTI_PLAZA,,,,,
1,STL-RB12,STL-RB12,kg,26.7,349.5,83.0,293.4,Surplus,inventory\SATTI_PLAZA_Inventory_Aug2011.xlsx,inventory,SATTI_PLAZA,,,,,
2,COARSE AGG,AGG-CRS34,cft,178.0,244.1,260.6,162.0,OK,inventory\SATTI_PLAZA_Inventory_Aug2011.xlsx,inventory,SATTI_PLAZA,,,,,
3,PLYWD-12,Plywood 12mm MR,sht,24.1,146.9,105.5,65.5,Surplus,inventory\SATTI_PLAZA_Inventory_Aug2011.xlsx,inventory,SATTI_PLAZA,,,,,
4,"CER.TILE 12""",TILE-12X12,sft,28.0,404.5,351.9,80.6,OK,inventory\SATTI_PLAZA_Inventory_Aug2011.xlsx,inventory,SATTI_PLAZA,,,,,
5,GI_PIPE_2INCH,GI PIPE 2IN,rft,147.0,321.4,418.6,49.8,Surplus,inventory\SATTI_PLAZA_Inventory_Aug2011.xlsx,inventory,SATTI_PLAZA,,,,,
6,WHITE MARBLE IMP.,MAR-W-IMP,sft,162.4,149.3,14.0,297.7,Reorder,inventory\SATTI_PLAZA_Inventory_Aug2011.xlsx,inventory,SATTI_PLAZA,,,,,
7,CEM-OPC50,cem_opc_50,bag,160.3,171.6,241.8,90.1,Reorder,inventory\SATTI_PLAZA_Inventory_Aug2011.xlsx,inventory,SATTI_PLAZA,,,,,
8,GENSET-25,Generator 25KVA,nos,79.9,70.3,80.1,70.1,OK,inventory\SATTI_PLAZA_Inventory_Aug2011.xlsx,inventory,SATTI_PLAZA,,,,,
9,RMC-M20,RMC-M20,cft,75.6,369.5,37.3,407.8,,inventory\SATTI_PLAZA_Inventory_Aug2011.xlsx,inventory,SATTI_PLAZA,,,,,
Store Keeper:,,Site Engr:,,,,,,,inventory\SATTI_PLAZA_Inventory_Aug2011.xlsx,inventory,SATTI_PLAZA,,,,,
Project: SATTI_PLAZA   Month: August 2012,,,,,,,,,inventory\SATTI_PLAZA_Inventory_Aug2012.xlsx,inventory,SATTI_PLAZA,,,,,
1,PIP-GI1,gi_pipe_1inch,rft,112.4,,,,,inventory\SATTI_PLAZA_Inventory_Aug2012.xlsx,inventory,SATTI_PLAZA,440.9,472.1,81.0,,
2,STEEL BAR 16,16mm Steel Rebar,kg,49.3,,,,,inventory\SATTI_PLAZA_Inventory_Aug2012.xlsx,inventory,SATTI_PLAZA,72.2,116.0,5.5,Reorder,
3,CEM-OPC50,OPC Cement 50kg Bag,bag,41.9,,,,,inventory\SATTI_PLAZA_Inventory_Aug2012.xlsx,inventory,SATTI_PLAZA,98.7,59.8,80.8,,
4,COPWIRE7,Copper Wire 7/.029,mtr,11.8,,,,,inventory\SATTI_PLAZA_Inventory_Aug2012.xlsx,inventory,SATTI_PLAZA,162.0,83.5,90.3,OK,
5,CBL-ARM-95,arm_cable_95,mtr,136.4,,,,,inventory\SATTI_PLAZA_Inventory_Aug2012.xlsx,inventory,SATTI_PLAZA,463.1,489.7,109.8,OK,
6,IMP_MARBLE_W,imp_marble_w,sft,160.6,,,,,inventory\SATTI_PLAZA_Inventory_Aug2012.xlsx,inventory,SATTI_PLAZA,44.1,18.8,185.9,OK,
7,RMC_M20,M20 Ready Mix Concrete,cft,154.5,,,,,inventory\SATTI_PLAZA_Inventory_Aug2012.xlsx,inventory,SATTI_PLAZA,303.8,444.4,13.9,Surplus,
8,STL-RB-12,STL-RB12,kg,110.8,,,,,inventory\SATTI_PLAZA_Inventory_Aug2012.xlsx,inventory,SATTI_PLAZA,482.0,22.2,570.6,Surplus,
9,COARSE AGG,GRAVEL-3/4,cft,33.9,,,,,inventory\SATTI_PLAZA_Inventory_Aug2012.xlsx,inventory,SATTI_PLAZA,321.0,42.2,312.0,Reorder,
10,WIR-COP-3,Copper Wire 3/.029,mtr,119.4,,,,,inventory\SATTI_PLAZA_Inventory_Aug2012.xlsx,inventory,SATTI_PLAZA,216.7,222.5,113.6,OK,
11,PLY-MR12,ply_mr_12mm,sht,99.4,,,,,inventory\SATTI_PLAZA_Inventory_Aug2012.xlsx,inventory,SATTI_PLAZA,155.9,19.2,236.1,Surplus,
12,6MM_GLASS,Sheesha 6mm,sft,122.7,,,,,inventory\SATTI_PLAZA_Inventory_Aug2012.xlsx,inventory,SATTI_PLAZA,260.3,350.4,32.6,,
13,TIL-CER-12,Ceramic Floor Tile 12x12,sft,73.8,,,,,inventory\SATTI_PLAZA_Inventory_Aug2012.xlsx,inventory,SATTI_PLAZA,295.4,232.1,137.1,Surplus,
14,GI PIPE 2IN,gi_pipe_2inch,rft,59.2,,,,,inventory\SATTI_PLAZA_Inventory_Aug2012.xlsx,inventory,SATTI_PLAZA,72.8,130.7,1.3,OK,
15,ALU-WIN4,Alum Window 4ft,nos,73.4,,,,,inventory\SATTI_PLAZA_Inventory_Aug2012.xlsx,inventory,SATTI_PLAZA,129.5,177.0,25.6,Reorder,
16,GEN-25K,25 KVA Generator,nos,197.4,,,,,inventory\SATTI_PLAZA_Inventory_Aug2012.xlsx,inventory,SATTI_PLAZA,189.0,250.5,135.9,,
17,SAN-WC-STD,Standard WC/Commode,nos,0.7,,,,,inventory\SATTI_PLAZA_Inventory_Aug2012.xlsx,inventory,SATTI_PLAZA,319.1,259.9,59.9,,
Store Keeper:,,Site Engr:,,,,,,,inventory\SATTI_PLAZA_Inventory_Aug2012.xlsx,inventory,SATTI_PLAZA,,,,,
Project: SATTI_PLAZA   Month: August 2013,,,,,,,,,inventory\SATTI_PLAZA_Inventory_Aug2013.xlsx,inventory,SATTI_PLAZA,,,,,
1,MARBLE WHT,White Marble Imp.,sft,2.4,98.6,63.6,37.4,Surplus,inventory\SATTI_PLAZA_Inventory_Aug2013.xlsx,inventory,SATTI_PLAZA,,,,,
2,WIR-COP-7,7/0.029 Copper Wire,mtr,198.0,441.6,528.0,111.6,,inventory\SATTI_PLAZA_Inventory_Aug2013.xlsx,inventory,SATTI_PLAZA,,,,,
3,PLYWD-12,PLY-MR12,sht,77.5,126.6,196.9,7.2,Surplus,inventory\SATTI_PLAZA_Inventory_Aug2013.xlsx,inventory,SATTI_PLAZA,,,,,
4,CEMENT BAG 50KG,OPC Cement 50kg Bag,bag,189.4,254.8,416.9,27.3,,inventory\SATTI_PLAZA_Inventory_Aug2013.xlsx,inventory,SATTI_PLAZA,,,,,
5,"CER.TILE 12""",Ceramic Floor Tile 12x12,sft,170.4,320.1,124.2,366.3,,inventory\SATTI_PLAZA_Inventory_Aug2013.xlsx,inventory,SATTI_PLAZA,,,,,
6,GI PIPE 2IN,"G.I.Pipe 2""",rft,56.0,357.6,21.5,392.1,,inventory\SATTI_PLAZA_Inventory_Aug2013.xlsx,inventory,SATTI_PLAZA,,,,,
7,PIP-GI1,GI PIPE 1IN,rft,10.0,326.5,299.5,37.0,Surplus,inventory\SATTI_PLAZA_Inventory_Aug2013.xlsx,inventory,SATTI_PLAZA,,,,,
8,AL_WINDOW_4,"A.Win 4""",nos,138.2,354.2,29.6,462.8,,inventory\SATTI_PLAZA_Inventory_Aug2013.xlsx,inventory,SATTI_PLAZA,,,,,
Store Keeper:,,Site Engr:,,,,,,,inventory\SATTI_PLAZA_Inventory_Aug2013.xlsx,inventory,SATTI_PLAZA,,,,,
Project: SATTI_PLAZA   Month: December 2011,,,,,,,,,inventory\SATTI_PLAZA_Inventory_Dec2011.xlsx,inventory,SATTI_PLAZA,,,,,
1,COPPER WIRE 7/.029,CopWire7,mtr,15.5,,,,,inventory\SATTI_PLAZA_Inventory_Dec2011.xlsx,inventory,SATTI_PLAZA,228.1,11.0,232.6,Reorder,
2,PIP-GI-2,"G.I.Pipe 2""",rft,128.5,,,,,inventory\SATTI_PLAZA_Inventory_Dec2011.xlsx,inventory,SATTI_PLAZA,325.8,1.0,453.3,,
3,WC-STD,SAN-WC,nos,141.0,,,,,inventory\SATTI_PLAZA_Inventory_Dec2011.xlsx,inventory,SATTI_PLAZA,,,142.6,Reorder,
4,"A.WIN 4""",ALU-WIN4,nos,182.0,,,,,inventory\SATTI_PLAZA_Inventory_Dec2011.xlsx,inventory,SATTI_PLAZA,,62.5,129.0,OK,
5,ARMOURED CABLE 95,Armoured Cable 95,mtr,7.3,,,,,inventory\SATTI_PLAZA_Inventory_Dec2011.xlsx,inventory,SATTI_PLAZA,157.5,42.0,122.6,Surplus,
6,CEM-OPC50,CEM-OPC50,bag,169.8,,,,,inventory\SATTI_PLAZA_Inventory_Dec2011.xlsx,inventory,SATTI_PLAZA,259.7,55.0,374.2,,
7,PLY_MR_12MM,PLY-MR12,sht,9.0,,,,,inventory\SATTI_PLAZA_Inventory_Dec2011.xlsx,inventory,SATTI_PLAZA,188.9,129.9,68.0,,
8,STL-RB16,REBAR-16MM,kg,,,,,,inventory\SATTI_PLAZA_Inventory_Dec2011.xlsx,inventory,SATTI_PLAZA,104.5,121.7,89.6,,
9,STL-RB12,STL-RB12,kg,146.6,,,,,inventory\SATTI_PLAZA_Inventory_Dec2011.xlsx,inventory,SATTI_PLAZA,127.1,227.8,45.9,,
Store Keeper:,,Site Engr:,,,,,,,inventory\SATTI_PLAZA_Inventory_Dec2011.xlsx,inventory,SATTI_PLAZA,,,,,
Project: SATTI_PLAZA   Month: December 2012,,,,,,,,,inventory\SATTI_PLAZA_Inventory_Dec2012.xlsx,inventory,SATTI_PLAZA,,,,,
1,AC-95SQ,arm_cable_95,mtr,118.4,461.8,4.4,,Reorder,inventory\SATTI_PLAZA_Inventory_Dec2012.xlsx,inventory,SATTI_PLAZA,,,575.8,,
2,COPWIRE7,7/0.029 Copper Wire,mtr,119.8,232.2,84.6,,Reorder,inventory\SATTI_PLAZA_Inventory_Dec2012.xlsx,inventory,SATTI_PLAZA,,,267.0,,
3,GLASS-6MM,Sheesha 6mm,sft,188.6,121.3,23.9,,,inventory\SATTI_PLAZA_Inventory_Dec2012.xlsx,inventory,SATTI_PLAZA,,,286.0,,
4,BRICK-CLA,BRICK-CLA,1000,93.9,205.0,135.7,,,inventory\SATTI_PLAZA_Inventory_Dec2012.xlsx,inventory,SATTI_PLAZA,,,,,
5,GI_PIPE_2INCH,PIP-GI2,rft,4.5,111.0,39.8,,OK,inventory\SATTI_PLAZA_Inventory_Dec2012.xlsx,inventory,SATTI_PLAZA,,,76.0,,
6,RIVER_SAND,River Sand,cft,133.5,48.7,150.1,,OK,inventory\SATTI_PLAZA_Inventory_Dec2012.xlsx,inventory,SATTI_PLAZA,,,32.1,,
7,"CER.TILE 12""",floor_tile_12,sft,115.1,159.5,91.1,,,inventory\SATTI_PLAZA_Inventory_Dec2012.xlsx,inventory,SATTI_PLAZA,,,183.5,,
8,STL-RB-16,Steel Bar 16,kg,152.0,93.3,219.4,,,inventory\SATTI_PLAZA_Inventory_Dec2012.xlsx,inventory,SATTI_PLAZA,,,25.8,,
9,OIL-PAINT-W,PAI-OIL,tin,104.0,400.5,216.5,,OK,inventory\SATTI_PLAZA_Inventory_Dec2012.xlsx,inventory,SATTI_PLAZA,,,288.0,,
10,WC-STD,WC-STD,nos,88.8,21.6,44.1,,,inventory\SATTI_PLAZA_Inventory_Dec2012.xlsx,inventory,SATTI_PLAZA,,,66.3,,
11,GENERATOR 25KVA,Generator 25KVA,nos,11.7,,121.0,,OK,inventory\SATTI_PLAZA_Inventory_Dec2012.xlsx,inventory,SATTI_PLAZA,,,69.6,,
12,READY MIX M20,RMC-M20,cft,53.9,,237.6,,,inventory\SATTI_PLAZA_Inventory_Dec2012.xlsx,inventory,SATTI_PLAZA,,,46.2,,
13,STL-RB12,STL-RB12,kg,148.8,450.0,104.0,,OK,inventory\SATTI_PLAZA_Inventory_Dec2012.xlsx,inventory,SATTI_PLAZA,,,495.0,,
14,GALVPIPE-1,GI PIPE 1IN,rft,68.4,471.1,214.9,,,inventory\SATTI_PLAZA_Inventory_Dec2012.xlsx,inventory,SATTI_PLAZA,,,324.6,,
15,CEMENT BAG 50KG,CEM-OPC50,bag,,,169.8,,OK,inventory\SATTI_PLAZA_Inventory_Dec2012.xlsx,inventory,SATTI_PLAZA,,,278.5,,
16,PLY-MR12,MR Ply 12,sht,,337.8,145.0,,OK,inventory\SATTI_PLAZA_Inventory_Dec2012.xlsx,inventory,SATTI_PLAZA,,,352.2,,
17,MRB-IMP,Imported White Marble,sft,55.9,,71.5,,,inventory\SATTI_PLAZA_Inventory_Dec2012.xlsx,inventory,SATTI_PLAZA,,,440.2,,
18,AGG-CRS-34,Bajri 3/4,cft,59.1,78.5,19.1,,OK,inventory\SATTI_PLAZA_Inventory_Dec2012.xlsx,inventory,SATTI_PLAZA,,,118.5,,
19,ALU-WIN4,"A.Win 4""",nos,48.1,88.0,55.3,,OK,inventory\SATTI_PLAZA_Inventory_Dec2012.xlsx,inventory,SATTI_PLAZA,,,81.0,,
20,WIRE-3/029,3/0.029 Copper Wire,mtr,,61.0,58.8,,Reorder,inventory\SATTI_PLAZA_Inventory_Dec2012.xlsx,inventory,SATTI_PLAZA,,,196.0,,
Store Keeper:,,Site Engr:,,,,,,,inventory\SATTI_PLAZA_Inventory_Dec2012.xlsx,inventory,SATTI_PLAZA,,,,,
Project: SATTI_PLAZA   Month: December 2013,,,,,,,,,inventory\SATTI_PLAZA_Inventory_Dec2013.xlsx,inventory,SATTI_PLAZA,,,,,
1,CBL-ARM-95,Armoured Cable 95,mtr,18.7,182.9,187.1,14.5,,inventory\SATTI_PLAZA_Inventory_Dec2013.xlsx,inventory,SATTI_PLAZA,,,,,
2,COPPER WIRE 7/.029,Copper Wire 7/.029,mtr,71.2,,229.0,210.2,Reorder,inventory\SATTI_PLAZA_Inventory_Dec2013.xlsx,inventory,SATTI_PLAZA,,,,,
3,REBAR-16MM,Steel Bar 16,kg,41.5,94.8,48.6,87.7,OK,inventory\SATTI_PLAZA_Inventory_Dec2013.xlsx,inventory,SATTI_PLAZA,,,,,
4,CEM-OPC50,CEMENT-50,bag,190.4,493.7,,,Surplus,inventory\SATTI_PLAZA_Inventory_Dec2013.xlsx,inventory,SATTI_PLAZA,,,,,
5,CNC-RDY-M20,Ready Mix M20,cft,181.0,350.2,178.1,353.2,Surplus,inventory\SATTI_PLAZA_Inventory_Dec2013.xlsx,inventory,SATTI_PLAZA,,,,,
6,25KVA GENSET,Generator 25KVA,nos,173.8,,154.0,22.0,Surplus,inventory\SATTI_PLAZA_Inventory_Dec2013.xlsx,inventory,SATTI_PLAZA,,,,,
7,"G.I.PIPE 2""","G.I.Pipe 2""",rft,118.5,405.6,116.3,407.8,OK,inventory\SATTI_PLAZA_Inventory_Dec2013.xlsx,inventory,SATTI_PLAZA,,,,,
8,FLOOR_TILE_12,TILE-12X12,sft,189.0,213.2,389.2,12.7,,inventory\SATTI_PLAZA_Inventory_Dec2013.xlsx,inventory,SATTI_PLAZA,,,,,
9,MR PLY 12,Plywood 12mm MR,sht,25.0,361.0,3.1,382.9,OK,inventory\SATTI_PLAZA_Inventory_Dec2013.xlsx,inventory,SATTI_PLAZA,,,,,
10,ALUM WINDOW 4FT,Alum Window 4ft,nos,91.2,373.4,351.1,113.5,Surplus,inventory\SATTI_PLAZA_Inventory_Dec2013.xlsx,inventory,SATTI_PLAZA,,,,,
11,"G.I.PIPE 1""",PIP-GI1,rft,0.2,301.3,3.0,298.9,Reorder,inventory\SATTI_PLAZA_Inventory_Dec2013.xlsx,inventory,SATTI_PLAZA,,,,,
12,MAR-W-IMP,Marble Wht,sft,58.0,108.3,112.8,53.6,Surplus,inventory\SATTI_PLAZA_Inventory_Dec2013.xlsx,inventory,SATTI_PLAZA,,,,,
13,BRK-CLS-A,Red Brick A-Grade,1000,166.8,391.9,504.7,54.0,Surplus,inventory\SATTI_PLAZA_Inventory_Dec2013.xlsx,inventory,SATTI_PLAZA,,,,,
14,TOILET_STD,Commode Standard,nos,70.0,199.0,207.3,62.1,,inventory\SATTI_PLAZA_Inventory_Dec2013.xlsx,inventory,SATTI_PLAZA,,,,,
15,SND-RV,SAND-RIVER,cft,155.8,,100.7,63.1,OK,inventory\SATTI_PLAZA_Inventory_Dec2013.xlsx,inventory,SATTI_PLAZA,,,,,
Store Keeper:,,Site Engr:,,,,,,,inventory\SATTI_PLAZA_Inventory_Dec2013.xlsx,inventory,SATTI_PLAZA,,,,,
